,id,date_taken,Time Spent,curent_role,Q2 - Did you switch careers into Data?,salary,Q4 - What Industry do you work in?,language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity,sal_min,sal_max
0,62a33b3db4da29969c62df3d,2022-06-10,0:00:44,Data Analyst,Yes,115.5,Healthcare,Python,9.0,9.0,7.0,5.0,5.0,7.0,Very Difficult,Remote Work,Male,26.0,United States,,White or Caucasian,106.0,125.0
1,62a33ba1bae91e4b8b82e35c,2022-06-10,0:01:30,Data Analyst,No,53.0,Finance,R,1.0,2.0,5.0,2.0,1.0,3.0,Very Difficult,Remote Work,Male,36.0,Canada,,Asian or Asian American,41.0,65.0
2,62a33c2cbc6861bf3176bec1,2022-06-10,0:02:18,Data Engineer,No,20.0,Other (Please Specify):Clean Energy,Python,0.0,8.0,7.0,5.0,7.0,7.0,Easy,Good Work/Life Balance,Male,23.0,Other (Please Specify):Nigeria,,Black or African American,0.0,40.0
3,62a33c8624a26260273822f9,2022-06-10,0:02:10,Other,Yes,187.5,Finance,R,10.0,6.0,7.0,10.0,7.0,10.0,Very Easy,Remote Work,Female,35.0,Canada,,White or Caucasian,150.0,225.0
4,62a33c91f3072dd892621e03,2022-06-10,0:01:51,Data Analyst,Yes,53.0,Healthcare,R,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,Better Salary,Male,44.0,United States,,Black or African American,41.0,65.0
5,62a33cb6cf25554317300177,2022-06-10,0:02:34,Data Analyst,Yes,20.0,Other (Please Specify):Coworking space ,Python,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,Good Work/Life Balance,Male,33.0,Other (Please Specify):Republic democratic of Congo ,,Black or African American,0.0,40.0
6,62a33cb72e54c9003e531c65,2022-06-10,0:01:15,Data Scientist,Yes,20.0,Finance,Python,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,Better Salary,Male,24.0,Other (Please Specify),,Black or African American,0.0,40.0
7,62a33cd30f8c8599d5af0f8f,2022-06-10,0:01:25,Data Engineer,Yes,137.5,Other (Please Specify):Retail,Other,10.0,5.0,5.0,5.0,5.0,9.0,Neither easy nor difficult,Remote Work,Male,35.0,United States,,Asian or Asian American,125.0,150.0
8,62a33cd3cf255543173001d9,2022-06-10,0:02:10,Data Analyst,Yes,95.5,Healthcare,R,4.0,4.0,4.0,4.0,5.0,5.0,Neither easy nor difficult,Better Salary,Male,35.0,United States,,Asian or Asian American,86.0,105.0
9,62a33cd8bc6861bf3176c05f,2022-06-10,0:01:27,Data Analyst,Yes,53.0,Telecommunication,Python,2.0,0.0,3.0,3.0,0.0,4.0,Very Difficult,Better Salary,Male,28.0,United States,,Hispanic or Latino,41.0,65.0
10,62a33ce918134ddc75ce8c30,2022-06-10,0:01:29,Data Analyst,Yes,75.5,Other (Please Specify):Logistics,Python,10.0,10.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Remote Work,Male,37.0,Canada,,White or Caucasian,66.0,85.0
11,62a33cf30a77c1a77f65baa2,2022-06-10,0:02:31,Data Analyst,Yes,20.0,Other (Please Specify):Igaming,Python,3.0,8.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Better Salary,Male,32.0,Other (Please Specify):Serbia,,White or Caucasian,0.0,40.0
12,62a33d15f408bae018ed370d,2022-06-10,0:03:20,Data Analyst,Yes,20.0,Tech,R,1.0,10.0,9.0,9.0,5.0,10.0,Neither easy nor difficult,Better Salary,Male,34.0,Other (Please Specify):Argentina,,Other (Please Specify):Latino with Italian roots,0.0,40.0
